po_/_so_#,country,sub_classification,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,first_line_designation,freight_cost_(usd),shipment_mode,days_to_process
0,1064,4,100,140,2731.4,19.51,0.2,1,25405.22,0,-91
0,588,2,20,5700,182400.0,32.0,1.6,1,23914.8,0,-70
0,673,1,60,5964,51350.04,8.61,0.14,1,12835.2,0,-52
0,673,1,60,21000,50400.0,2.4,0.04,0,3549.77,0,-52
0,673,1,60,10560,72864.0,6.9,0.12,1,4225.93,0,-70
0,673,1,60,2352,20250.72,8.61,0.14,1,892.5,0,-77
0,494,5,300,524,21536.4,41.1,0.14,1,6668.61,0,-4
0,494,5,60,2094,21526.32,10.28,0.17,1,0.0,0,-28
0,403,2,30,8249,185602.5,22.5,0.75,1,12595.81,0,-34
0,1107,1,30,200,4734.0,23.67,0.79,1,463.0,0,121
0,615,5,60,80,760.0,9.5,0.16,1,260.0,0,-62
0,615,5,200,32,402.88,12.59,0.06,0,3549.77,0,-62
0,615,5,60,46,472.88,10.28,0.17,1,893.22,0,-47
0,1402,1,30,3025,47522.75,15.71,0.52,1,0.0,0,-181
0,1402,1,30,3500,49840.0,14.24,0.47,1,0.0,0,-180
0,1402,5,240,1008,3588.48,3.56,0.01,0,0.0,0,-180
0,1402,5,200,960,1152.0,1.2,0.01,1,0.0,0,-160
0,1402,5,240,1800,10512.0,5.84,0.02,1,0.0,0,-153
0,1402,1,60,1200,3384.0,2.82,0.05,1,0.0,0,-192
0,1402,5,240,346,1954.9,5.65,0.02,1,0.0,0,-41
0,1402,5,30,5300,16642.0,3.14,0.1,1,0.0,3,4
0,1402,5,240,342,1932.3,5.65,0.02,1,0.0,0,16
0,1402,1,60,2700,10665.0,3.95,0.07,1,0.0,3,79
0,1402,1,120,3735,134385.3,35.98,0.3,1,0.0,0,-48
0,1402,1,60,6000,80640.0,13.44,0.22,1,0.0,0,-33
0,1402,1,60,11672,35016.0,3.0,0.05,1,0.0,0,-42
0,1064,1,120,10240,420864.0,41.1,0.34,1,14806.48,0,29
0,1402,5,300,30,1080.0,36.0,0.12,1,0.0,3,-41
0,1402,1,30,80,2816.0,35.2,1.17,1,0.0,3,-45
0,1402,1,60,1000,19770.0,19.77,0.33,1,3134.85,3,-39
0,108,2,100,7500,600000.0,80.0,0.8,1,16835.31,0,39
0,1107,2,100,6395,511600.0,80.0,0.8,1,24514.33,0,78
0,403,1,30,55356,386384.88,6.98,0.23,1,37404.74,0,54
0,1064,2,40,1000,110000.0,110.0,2.75,1,8074.03,0,106
0,673,1,60,3500,39025.0,11.15,0.19,1,6341.88,0,39
0,95,2,25,67,5025.0,75.0,3.0,1,401.97,0,92
0,673,5,60,400,2800.0,7.0,0.12,1,14.36,0,57
0,95,2,20,220,7040.0,32.0,1.6,1,1736.18,0,28
0,1402,1,84,50,490.0,9.8,0.12,1,0.0,3,57
0,1402,1,60,5000,41300.0,8.26,0.14,1,0.0,3,65
0,1402,5,240,460,2838.2,6.17,0.03,1,0.0,3,57
0,1064,2,40,147,11076.45,75.35,1.88,1,1816.57,0,-1070
0,673,5,60,2800,19600.0,7.0,0.12,1,3292.15,0,-928
0,528,1,180,260,11096.8,42.68,0.24,1,0.0,0,-937
0,1107,1,60,894,2994.9,3.35,0.06,1,4861.14,0,-907
0,673,1,60,25100,276100.0,11.0,0.18,1,18772.94,0,-810
0,673,1,60,95500,144205.0,1.51,0.03,1,42453.21,0,-810
0,237,2,20,900,36000.0,40.0,2.0,1,4989.87,0,-885
0,588,1,120,80,3288.0,41.1,0.34,1,0.0,0,-837
0,673,1,60,70000,525000.0,7.5,0.12,1,31858.09,0,-751
0,403,1,30,71577,1087970.4,15.2,0.51,0,3549.77,0,-825
0,403,1,60,5605,202340.5,36.1,0.6,0,3549.77,0,-825
0,181,2,100,200,16000.0,80.0,0.8,1,0.0,0,-886
